"block_cashout","longTermEventType","outrightType","subgroupNameKey","subgroupIdKey","tiebreak","best_of_sets"
"false","NA","NA","ATP Challenger Cagliari, Italy Men Singles, Cupqround","145075","NA","3"
"false","NA","NA","ITF Italy F7, Men Singles, Round_of_32","148423","NA","3"
"false","NA","NA","ATP Madrid, Spain Men Singles, Round_of_32","139396","NA","3"
"true","NA","NA","ATP Challenger Aix en Provence, France Men Singles, Cupqround","145069","NA","3"
"false","NA","NA","ATP Challenger Aix en Provence, France Men Singles, Cupqround","145069","NA","3"
"false","NA","NA","ITF Great Britain F10, Men Singles, Cupqround","148427","immediate-tie-break","3"
"false","NA","NA","ITF Sweden 01A, Women Singles, Cupqround","148555","immediate-tie-break","3"
"false","NA","NA","ITF Germany 02A, Women Singles, Cupqround","148573","NA","3"
"false","NA","NA","ATP Challenger Cagliari, Italy Men Singles, Cupqround","145075","NA","3"
"false","NA","NA","CBA, Semifinal","33232","NA","NA"
"false","NA","NA","WTA 125K Saint-Malo, France, Women Singles, Cupqround","144597","NA","3"
"true","NA","NA","ATP Madrid, Spain Men Singles, Round_of_32","139396","NA","3"
"false","NA","NA","ITF Sweden 01A, Women Singles, Cupqround","148555","immediate-tie-break","3"
"false","NA","NA","ITF Germany 02A, Women Singles, Cupqround","148573","NA","3"
"false","NA","NA","WTA Madrid, Spain Women Doubles, Round_of_16","141652","immediate-tie-break","3"
"false","NA","NA","Liga 2, Promotion Playoff","4506","NA","NA"
"false","NA","NA","ITF Spain 20A, Women Singles, Cupqround","148513","immediate-tie-break","3"
"false","NA","NA","ITF Spain 20A, Women Singles, Cupqround","148513","immediate-tie-break","3"
"false","NA","NA","ITF Croatia F6, Men Singles, Cupqround","148457","immediate-tie-break","3"
"false","NA","NA","ITF Turkey 17A, Women Singles, Cupqround","148537","immediate-tie-break","3"
"false","NA","NA","ITF Turkey 17A, Women Singles, Cupqround","148537","immediate-tie-break","3"
"false","NA","NA","ITF Turkey 17A, Women Singles, Cupqround","148537","immediate-tie-break","3"
"false","NA","NA","TT Elite Series","113127","NA","5"
